source,target,interaction,question,option
Q1,Q2,Around the eyes or forehead,Where is the pain localized on your face?,Around the eyes or forehead
Q1,Q3,Jaw or teeth,Where is the pain localized on your face?,Jaw or teeth
Q1,Q4,Generalized or cannot specify,Where is the pain localized on your face?,Generalized or cannot specify
Q2,Q5,Yes,"Is the pain accompanied by any of the following symptoms: nasal congestion, runny nose, reduced sense of smell, cough, or fever?",Yes
Q2,Q6,No,"Is the pain accompanied by any of the following symptoms: nasal congestion, runny nose, reduced sense of smell, cough, or fever?",No
Q3,Q7,Yes,"Is the pain sharp and severe, often described as a shooting pain?",Yes
Q3,Q8,No,"Is the pain sharp and severe, often described as a shooting pain?",No
Q4,Q9,Yes,Have you been experiencing stress or anxiety lately?,Yes
Q4,Q10,No,Have you been experiencing stress or anxiety lately?,No
Q5,Q11,Yes,"Have you recently had a cold, allergies, or been exposed to environmental irritants like smoke or dust?",Yes
Q5,Q12,No,"Have you recently had a cold, allergies, or been exposed to environmental irritants like smoke or dust?",No
Q6,Q13,Yes,Is the pain accompanied by visual disturbances or sensitivity to light?,Yes
Q6,Q14,No,Is the pain accompanied by visual disturbances or sensitivity to light?,No
Q7,Q15,Yes,Does the pain come and go in sudden bursts?,Yes
Q7,Q16,No,Does the pain come and go in sudden bursts?,No
Q8,Q17,Yes,Do you feel pain when you open your mouth or chew?,Yes
Q8,Q18,No,Do you feel pain when you open your mouth or chew?,No
Q9,Q19,Yes,Have you recently had any changes in your life that may have caused stress or anxiety?,Yes
Q9,Q20,No,Have you recently had any changes in your life that may have caused stress or anxiety?,No
Q10,Q21,Yes,Do you have any history of head injury or trauma?,Yes
Q10,Q22,No,Do you have any history of head injury or trauma?,No
Q11,Q23,Yes,Did these symptoms start after a cold or exposure to the irritant?,Yes
Q11,Q24,No,Did these symptoms start after a cold or exposure to the irritant?,No
Q12,Q25,Yes,Does the pain increase with exposure to light or sound?,Yes
Q12,Q26,No,Does the pain increase with exposure to light or sound?,No
Q13,Q27,Yes,Are these visual disturbances accompanied by nausea or vomiting?,Yes
Q13,Q28,No,Are these visual disturbances accompanied by nausea or vomiting?,No
Q14,Q29,Yes,"Does the pain come in episodes, possibly lasting from 15 minutes to three hours?",Yes
Q14,Q30,No,"Does the pain come in episodes, possibly lasting from 15 minutes to three hours?",No
Q15,Q31,Yes,Is the pain triggered by certain movements or activities such as speaking or eating?,Yes
Q15,Q32,No,Is the pain triggered by certain movements or activities such as speaking or eating?,No
Q16,Q33,Yes,"Have you noticed any swelling, lumps, or redness around the area of pain?",Yes
Q16,Q34,No,"Have you noticed any swelling, lumps, or redness around the area of pain?",No
Q17,Q35,Yes,Do you hear any clicking or popping sounds when you open your mouth?,Yes
Q17,Q36,No,Do you hear any clicking or popping sounds when you open your mouth?,No
Q18,Q37,Yes,Do you have a bad taste in your mouth or bad breath that doesn't go away with brushing?,Yes
Q18,Q38,No,Do you have a bad taste in your mouth or bad breath that doesn't go away with brushing?,No
Q19,Q39,Yes,Are your worries interfering with your daily life and unable to control?,Yes
Q19,Q40,No,Are your worries interfering with your daily life and unable to control?,No
Q20,Q41,Yes,Have you been recently diagnosed or treated for any neurological condition?,Yes
Q20,Q42,No,Have you been recently diagnosed or treated for any neurological condition?,No
Q21,Q43,Yes,Do you experience the pain immediately following a specific head movement or touch?,Yes
Q21,Q44,No,Do you experience the pain immediately following a specific head movement or touch?,No
Q22,Q45,Yes,"Have you experienced any unexplained weight loss, night sweats, or fevers?",Yes
Q22,Q46,No,"Have you experienced any unexplained weight loss, night sweats, or fevers?",No
Q23,Q47,Yes,Are your symptoms worse on one side of your face?,Yes
Q23,Q48,No,Are your symptoms worse on one side of your face?,No
Q24,Q49,Yes,Do you have any history of chronic headaches or migraines?,Yes
Q24,Q50,No,Do you have any history of chronic headaches or migraines?,No
Q25,Q51,Yes,"Does the pain occur in episodes, lasting for a few hours to several days?",Yes
Q25,Q52,No,"Does the pain occur in episodes, lasting for a few hours to several days?",No
Q26,Q53,Yes,"Do you feel the pain on one side of your face, often around the eye?",Yes
Q26,Q54,No,"Do you feel the pain on one side of your face, often around the eye?",No
Q27,Q55,Yes,Is the pain throbbing or pulsating?,Yes
Q27,Q56,No,Is the pain throbbing or pulsating?,No
Q28,Q57,Yes,Is the pain usually felt on one side of your head?,Yes
Q28,Q58,No,Is the pain usually felt on one side of your head?,No
Q29,Q59,Yes,"Do you have redness, swelling, or tearing in one or both of your eyes during these episodes?",Yes
Q29,Q60,No,"Do you have redness, swelling, or tearing in one or both of your eyes during these episodes?",No
Q30,Q61,Yes,Do you experience recurrent episodes of severe pain?,Yes
Q30,Q62,No,Do you experience recurrent episodes of severe pain?,No
Q31,Q63,Yes,Is the pain primarily in the lower part of your face?,Yes
Q31,Q64,No,Is the pain primarily in the lower part of your face?,No
Q32,Q65,Yes,Do you have a recent history of dental procedures or facial trauma?,Yes
