source,target,interaction,question,option,is_diagnosis
Q1,Q2,Around the eyes or forehead,Where is the pain localized on your face?,Around the eyes or forehead,0
Q1,Q3,Jaw or teeth,Where is the pain localized on your face?,Jaw or teeth,0
Q1,Q4,Generalized or cannot specify,Where is the pain localized on your face?,Generalized or cannot specify,0
Q2,Q5,Yes,"Is the pain accompanied by any of the following symptoms: nasal congestion, runny nose, reduced sense of smell, cough, or fever?",Yes,0
Q2,Q6,No,"Is the pain accompanied by any of the following symptoms: nasal congestion, runny nose, reduced sense of smell, cough, or fever?",No,0
Q3,Q7,Yes,"Is the pain sharp and severe, often described as a shooting pain?",Yes,0
Q3,Q8,No,"Is the pain sharp and severe, often described as a shooting pain?",No,0
Q4,Q9,Yes,Have you been experiencing stress or anxiety lately?,Yes,0
Q4,Q10,No,Have you been experiencing stress or anxiety lately?,No,0
Q5,Q11,Yes,"Have you recently had a cold, allergies, or been exposed to environmental irritants like smoke or dust?",Yes,0
Q5,Q12,No,"Have you recently had a cold, allergies, or been exposed to environmental irritants like smoke or dust?",No,0
Q6,Q13,Yes,Is the pain accompanied by visual disturbances or sensitivity to light?,Yes,0
Q6,Q14,No,Is the pain accompanied by visual disturbances or sensitivity to light?,No,0
Q7,Q15,Yes,Does the pain come and go in sudden bursts?,Yes,0
Q7,Q16,No,Does the pain come and go in sudden bursts?,No,0
Q8,Q17,Yes,Do you feel pain when you open your mouth or chew?,Yes,0
Q8,Q18,No,Do you feel pain when you open your mouth or chew?,No,0
Q9,Q19,Yes,Have you recently had any changes in your life that may have caused stress or anxiety?,Yes,0
Q9,Q20,No,Have you recently had any changes in your life that may have caused stress or anxiety?,No,0
Q10,Q21,Yes,Do you have any history of head injury or trauma?,Yes,0
Q10,Q22,No,Do you have any history of head injury or trauma?,No,0
Q11,Q23,Yes,Did these symptoms start after a cold or exposure to the irritant?,Yes,0
Q11,Q24,No,Did these symptoms start after a cold or exposure to the irritant?,No,0
Q12,Q25,Yes,Does the pain increase with exposure to light or sound?,Yes,0
Q12,Q26,No,Does the pain increase with exposure to light or sound?,No,0
Q13,Q27,Yes,Are these visual disturbances accompanied by nausea or vomiting?,Yes,0
Q13,Q28,No,Are these visual disturbances accompanied by nausea or vomiting?,No,0
Q14,Q29,Yes,"Does the pain come in episodes, possibly lasting from 15 minutes to three hours?",Yes,0
Q14,Q30,No,"Does the pain come in episodes, possibly lasting from 15 minutes to three hours?",No,0
Q15,Q31,Yes,Is the pain triggered by certain movements or activities such as speaking or eating?,Yes,0
Q15,Q32,No,Is the pain triggered by certain movements or activities such as speaking or eating?,No,0
Q16,Q33,Yes,"Have you noticed any swelling, lumps, or redness around the area of pain?",Yes,0
Q16,Q34,No,"Have you noticed any swelling, lumps, or redness around the area of pain?",No,0
Q17,Q35,Yes,Do you hear any clicking or popping sounds when you open your mouth?,Yes,0
